p1handX,p1handY,p1handZ,p2handX,p2handY,p2handZ,p1bodyX,p1bodyY,p1bodyZ,p2bodyX,p2bodyY,p2bodyZ
2.974,-20.758,-30.124,5.941,-77.522,-36.913,-7.359,2.879,-36.096,-3.551,-96.673,-34.407
3.065,-20.746,-30.183,5.986,-77.54,-36.893,-7.359,2.883,-36.092,-3.549,-96.679,-34.403
3.07,-20.75,-30.253,6.011,-77.555,-36.879,-7.367,2.886,-36.09,-3.522,-96.698,-34.384
3.12,-20.795,-30.277,6.016,-77.549,-36.867,-7.369,2.88,-36.096,-3.525,-96.678,-34.39
3.132,-20.74,-30.382,6,-77.556,-36.849,-7.355,2.883,-36.1,-3.529,-96.671,-34.392
3.157,-20.774,-30.421,5.999,-77.562,-36.844,-7.347,2.875,-36.102,-3.534,-96.671,-34.385
3.223,-20.748,-30.471,6.054,-77.57,-36.841,-7.328,2.869,-36.109,-3.566,-96.666,-34.386
3.293,-20.754,-30.566,6.105,-77.563,-36.845,-7.317,2.87,-36.116,-3.56,-96.672,-34.378
3.306,-20.711,-30.629,6.149,-77.57,-36.819,-7.314,2.878,-36.125,-3.565,-96.678,-34.358
3.359,-20.678,-30.695,6.155,-77.604,-36.806,-7.3,2.883,-36.128,-3.59,-96.665,-34.361
3.375,-20.732,-30.729,6.199,-77.619,-36.787,-7.3,2.886,-36.129,-3.58,-96.672,-34.359
3.433,-20.744,-30.786,6.228,-77.659,-36.78,-7.297,2.882,-36.13,-3.607,-96.663,-34.369
3.437,-20.739,-30.822,6.279,-77.647,-36.752,-7.311,2.885,-36.128,-3.609,-96.668,-34.372
3.48,-20.727,-30.852,6.356,-77.625,-36.71,-7.313,2.886,-36.127,-3.642,-96.666,-34.388
3.512,-20.718,-30.893,6.434,-77.704,-36.689,-7.315,2.885,-36.123,-3.675,-96.678,-34.38
3.569,-20.739,-30.948,6.482,-77.703,-36.691,-7.317,2.885,-36.119,-3.705,-96.683,-34.383
3.616,-20.759,-30.98,6.464,-77.708,-36.701,-7.322,2.879,-36.115,-3.682,-96.697,-34.388
3.627,-20.775,-30.988,6.492,-77.726,-36.719,-7.337,2.882,-36.113,-3.634,-96.704,-34.389
3.661,-20.797,-31.006,6.543,-77.739,-36.696,-7.34,2.886,-36.112,-3.588,-96.696,-34.404
3.726,-20.826,-31.043,6.6,-77.737,-36.675,-7.339,2.887,-36.114,-3.561,-96.699,-34.408
3.758,-20.831,-31.103,6.686,-77.729,-36.675,-7.32,2.886,-36.112,-3.514,-96.719,-34.415
3.76,-20.84,-31.126,6.689,-77.719,-36.695,-7.294,2.89,-36.104,-3.511,-96.727,-34.413
3.813,-20.829,-31.177,6.685,-77.734,-36.683,-7.28,2.9,-36.109,-3.451,-96.759,-34.398
3.886,-20.826,-31.204,6.728,-77.784,-36.657,-7.25,2.906,-36.112,-3.451,-96.755,-34.41
3.948,-20.8,-31.249,6.773,-77.786,-36.637,-7.227,2.903,-36.123,-3.445,-96.771,-34.408
3.941,-20.811,-31.291,6.79,-77.833,-36.606,-7.217,2.895,-36.127,-3.426,-96.756,-34.424
3.968,-20.831,-31.332,6.845,-77.845,-36.613,-7.146,2.888,-36.112,-3.357,-96.75,-34.428
4.013,-20.856,-31.395,6.893,-77.82,-36.597,-7.149,2.883,-36.107,-3.366,-96.743,-34.418
4.093,-20.858,-31.436,6.934,-77.822,-36.593,-7.18,2.887,-36.106,-3.403,-96.731,-34.419
4.116,-20.836,-31.466,6.966,-77.844,-36.581,-7.199,2.894,-36.104,-3.418,-96.719,-34.425
4.182,-20.849,-31.493,6.982,-77.872,-36.58,-7.214,2.89,-36.101,-3.456,-96.712,-34.42
4.239,-20.833,-31.529,7.028,-77.87,-36.58,-7.222,2.884,-36.092,-3.462,-96.711,-34.425
4.275,-20.848,-31.541,7.043,-77.89,-36.581,-7.238,2.878,-36.088,-3.451,-96.717,-34.433
4.283,-20.842,-31.599,7.069,-77.895,-36.561,-7.258,2.876,-36.088,-3.48,-96.713,-34.427
4.318,-20.866,-31.638,7.136,-77.869,-36.544,-7.305,2.891,-36.085,-3.506,-96.706,-34.434
4.342,-20.907,-31.641,7.23,-77.882,-36.503,-7.328,2.894,-36.07,-3.488,-96.721,-34.43
4.395,-20.909,-31.654,7.271,-77.934,-36.496,-7.335,2.883,-36.061,-3.481,-96.71,-34.445
4.451,-20.899,-31.68,7.29,-77.964,-36.503,-7.324,2.876,-36.059,-3.45,-96.718,-34.454
4.506,-20.898,-31.706,7.344,-77.973,-36.501,-7.307,2.873,-36.061,-3.457,-96.732,-34.439
4.614,-20.897,-31.789,7.37,-77.982,-36.483,-7.302,2.873,-36.071,-3.495,-96.721,-34.447
4.645,-20.939,-31.808,7.422,-78.007,-36.491,-7.293,2.877,-36.073,-3.507,-96.729,-34.44
4.697,-20.913,-31.836,7.45,-78.033,-36.474,-7.279,2.875,-36.077,-3.48,-96.737,-34.438
4.728,-20.912,-31.86,7.428,-78.035,-36.478,-7.266,2.874,-36.079,-3.478,-96.73,-34.438
4.765,-20.924,-31.898,7.412,-78.095,-36.476,-7.259,2.872,-36.082,-3.455,-96.731,-34.451
4.77,-20.941,-31.92,7.486,-78.101,-36.457,-7.251,2.88,-36.088,-3.436,-96.731,-34.45
4.814,-20.933,-31.96,7.54,-78.11,-36.408,-7.242,2.883,-36.088,-3.43,-96.735,-34.456
4.876,-20.929,-32.009,7.564,-78.112,-36.378,-7.242,2.878,-36.09,-3.415,-96.742,-34.462
4.943,-20.933,-32.032,7.592,-78.098,-36.372,-7.236,2.88,-36.089,-3.421,-96.735,-34.47
4.975,-20.965,-32.066,7.64,-78.071,-36.355,-7.246,2.879,-36.094,-3.459,-96.724,-34.476
4.974,-21.013,-32.116,7.704,-78.067,-36.331,-7.251,2.878,-36.097,-3.51,-96.697,-34.49
4.96,-21.009,-32.138,7.831,-78.091,-36.282,-7.261,2.874,-36.1,-3.566,-96.691,-34.476
5.054,-21.004,-32.158,7.837,-78.11,-36.287,-7.27,2.868,-36.096,-3.624,-96.689,-34.469
5.113,-20.991,-32.176,7.825,-78.151,-36.256,-7.281,2.866,-36.089,-3.75,-96.67,-34.473
5.161,-20.997,-32.207,7.874,-78.151,-36.253,-7.292,2.866,-36.083,-3.73,-96.692,-34.459
5.202,-21.023,-32.259,7.914,-78.151,-36.216,-7.312,2.872,-36.084,-3.692,-96.699,-34.47
5.261,-21.052,-32.288,7.904,-78.165,-36.214,-7.311,2.868,-36.085,-3.674,-96.714,-34.474
